Churn_ID,Client_ID,Date_Resiliation,Raisons_Resiliation,Score_Churn
1,4994,2024-04-04,Problème de service client,85
2,4634,2024-08-22,Problème de service client,79
3,1687,2024-11-01,Problème de service client,65
4,4178,2024-07-04,Facturation incorrecte,82
5,1758,2024-09-19,Autre,97
6,3236,2024-02-07,Mauvaise couverture réseau,100
7,4424,2024-11-09,Facturation incorrecte,94
8,3019,2024-09-01,Autre,85
9,3283,2024-11-19,Problème de service client,86
10,4923,2024-04-27,Problème de service client,90
11,4707,2024-08-30,Problème de service client,74
12,4593,2024-01-27,Mauvaise couverture réseau,88
13,1542,2024-01-21,Mauvaise couverture réseau,93
14,4145,2024-09-11,Problème de service client,99
15,734,2024-09-01,Problème de service client,82
16,2179,2024-09-01,Mauvaise couverture réseau,83
17,3101,2024-07-08,Mauvaise couverture réseau,90
18,3696,2024-10-02,Facturation incorrecte,73
19,3857,2024-06-24,Autre,77
20,2597,2024-11-19,Facturation incorrecte,71
21,2951,2024-03-26,Facturation incorrecte,71
22,524,2024-05-24,Mauvaise couverture réseau,71
23,553,2024-08-26,Problème de service client,67
24,1686,2024-08-17,Autre,65
25,1937,2024-04-12,Problème de service client,90
26,4129,2024-11-30,Mauvaise couverture réseau,64
27,616,2024-09-01,Mauvaise couverture réseau,99
28,4972,2024-09-21,Autre,93
29,2947,2024-04-20,Facturation incorrecte,72
30,2493,2024-04-29,Facturation incorrecte,85
31,4410,2024-07-21,Mauvaise couverture réseau,75
32,3113,2024-07-17,Facturation incorrecte,96
33,3528,2024-10-31,Problème de service client,60
34,1019,2024-01-19,Problème de service client,100
35,1171,2024-01-08,Mauvaise couverture réseau,89
36,2996,2024-10-19,Mauvaise couverture réseau,83
37,790,2024-11-27,Mauvaise couverture réseau,69
38,937,2024-08-14,Facturation incorrecte,75
39,2712,2024-10-21,Problème de service client,74
40,3457,2024-05-31,Mauvaise couverture réseau,99
41,1531,2024-06-25,Facturation incorrecte,78
42,4372,2024-05-06,Facturation incorrecte,78
43,518,2024-10-30,Problème de service client,98
44,3878,2024-06-15,Problème de service client,85
45,1056,2024-02-02,Mauvaise couverture réseau,93
46,2675,2024-07-21,Problème de service client,60
47,692,2024-03-30,Mauvaise couverture réseau,62
48,2022,2024-03-11,Problème de service client,83
49,3285,2024-10-17,Mauvaise couverture réseau,61
50,4288,2024-07-04,Mauvaise couverture réseau,75
51,4025,2024-11-23,Facturation incorrecte,69
52,2156,2024-11-18,Mauvaise couverture réseau,85
53,4155,2024-11-30,Mauvaise couverture réseau,67
54,4832,2024-08-02,Autre,84
55,3533,2024-12-02,Autre,66
56,1810,2024-05-01,Problème de service client,67
57,467,2024-04-07,Autre,87
58,49,2024-08-25,Facturation incorrecte,81
59,3751,2024-04-06,Facturation incorrecte,87
60,2053,2024-03-03,Autre,97
61,1822,2024-06-03,Facturation incorrecte,86
62,2504,2024-05-14,Autre,97
63,1442,2024-09-24,Facturation incorrecte,67
64,1303,2024-07-04,Autre,75
65,2121,2024-07-24,Mauvaise couverture réseau,74
66,1967,2024-03-24,Mauvaise couverture réseau,89
67,4431,2024-06-24,Facturation incorrecte,64
68,4924,2024-11-15,Problème de service client,95
69,4643,2024-05-06,Mauvaise couverture réseau,87
70,3208,2024-12-05,Autre,84
71,3478,2024-10-30,Autre,61
72,3163,2024-04-18,Facturation incorrecte,98
73,1740,2024-11-01,Mauvaise couverture réseau,90
74,251,2024-12-09,Problème de service client,80
75,2009,2024-04-24,Mauvaise couverture réseau,74
76,3972,2024-11-26,Problème de service client,77
77,4030,2024-06-04,Problème de service client,87
78,4990,2024-09-02,Facturation incorrecte,67
79,866,2024-08-02,Problème de service client,84
80,763,2024-01-14,Mauvaise couverture réseau,66
81,1371,2024-09-10,Problème de service client,84
82,3972,2024-03-23,Problème de service client,88
83,1476,2024-10-29,Problème de service client,65
84,4446,2024-09-17,Autre,88
85,2697,2024-09-12,Facturation incorrecte,100
86,3769,2024-11-09,Autre,61
87,3610,2024-06-11,Mauvaise couverture réseau,96
88,4688,2024-06-23,Problème de service client,92
89,4138,2024-04-19,Mauvaise couverture réseau,71
90,3362,2024-05-29,Mauvaise couverture réseau,64
91,4255,2024-03-10,Autre,63
92,1486,2024-06-08,Autre,64
93,4981,2024-02-01,Facturation incorrecte,97
94,2410,2024-12-15,Problème de service client,85
95,1764,2024-08-30,Autre,91
96,819,2024-11-11,Facturation incorrecte,72
97,1369,2024-05-01,Autre,89
98,253,2024-11-11,Autre,87
99,1614,2024-06-23,Problème de service client,80
100,3871,2024-06-19,Facturation incorrecte,98
101,1956,2024-02-28,Mauvaise couverture réseau,90
102,979,2024-02-17,Autre,69
103,549,2024-09-07,Facturation incorrecte,92
104,3876,2024-07-17,Mauvaise couverture réseau,84
105,3609,2024-03-19,Mauvaise couverture réseau,65
106,114,2024-11-19,Facturation incorrecte,77
107,2214,2024-07-01,Problème de service client,88
108,3597,2024-11-15,Problème de service client,85
109,4771,2024-04-26,Autre,82
110,2855,2024-10-27,Autre,86
111,2935,2024-08-28,Facturation incorrecte,96
112,3843,2024-10-24,Mauvaise couverture réseau,84
113,3646,2024-09-16,Autre,67
114,3983,2024-06-11,Facturation incorrecte,62
115,4009,2024-04-06,Autre,67
116,1476,2024-05-02,Problème de service client,60
117,2859,2024-08-12,Autre,87
118,2380,2024-02-26,Mauvaise couverture réseau,91
119,1330,2024-04-28,Facturation incorrecte,92
120,3091,2024-10-13,Autre,64
121,2243,2024-11-07,Autre,99
122,3977,2024-08-31,Problème de service client,79
123,4250,2024-06-24,Mauvaise couverture réseau,90
124,3955,2024-10-14,Facturation incorrecte,78
125,1464,2024-05-08,Mauvaise couverture réseau,93
126,4997,2024-09-10,Facturation incorrecte,67
127,2176,2024-09-18,Problème de service client,84
128,4975,2024-05-23,Autre,62
129,2433,2024-07-30,Mauvaise couverture réseau,77
130,1567,2024-06-24,Autre,81
131,1467,2024-06-28,Mauvaise couverture réseau,82
132,1689,2024-12-10,Problème de service client,72
